GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,Name,Parameters,ExpectedRejectReason,ActualRejectReason,PreviousGatesPassed
2026-07-21T20:26:04.755866+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,11,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,LOT_ROUNDING_GEOMETRY,targeted independent gate,LOT_ROUNDING_GEOMETRY,LOT_ROUNDING_GEOMETRY,True
2026-07-21T20:26:04.755868+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,12,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,SMALL_INCOMPLETE,targeted independent gate,SMALL_INCOMPLETE,SMALL_INCOMPLETE,True
2026-07-21T20:26:04.755871+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,13,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NOT_MINIMUM_SAFE_NEW_FAR,targeted independent gate,NOT_MINIMUM_SAFE_NEW_FAR,NOT_MINIMUM_SAFE_NEW_FAR,True
2026-07-21T20:26:04.755874+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,14,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,DOUBLE_RESERVE_CREDIT,targeted independent gate,DOUBLE_RESERVE_CREDIT,DOUBLE_RESERVE_CREDIT,True
2026-07-21T20:26:04.755878+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,15,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,DOUBLE_HARVEST_USE,targeted independent gate,DOUBLE_HARVEST_USE,DOUBLE_HARVEST_USE,True
2026-07-21T20:26:04.755882+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,16,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,SMALLBASE_INCLUDED_IN_BIG_GROSS,targeted independent gate,SMALLBASE_INCLUDED_IN_BIG_GROSS,SMALLBASE_INCLUDED_IN_BIG_GROSS,True
2026-07-21T20:26:04.755886+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,17,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,DUPLICATE_NEW_FAR,targeted independent gate,DUPLICATE_NEW_FAR,DUPLICATE_NEW_FAR,True
2026-07-21T20:26:04.755890+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,18,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,OLD_BIGTREND_REMAINS,targeted independent gate,OLD_BIGTREND_REMAINS,OLD_BIGTREND_REMAINS,True
2026-07-21T20:26:04.755894+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,19,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,OLD_FAR_REMAINS,targeted independent gate,OLD_FAR_REMAINS,OLD_FAR_REMAINS,True
2026-07-21T20:26:04.755908+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,20,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,INVALID_PHASE_TRANSITION,targeted independent gate,INVALID_PHASE_TRANSITION,INVALID_PHASE_TRANSITION,True
