Parameter,BestValue,WorkingRange,Influence,Comment
StartLot,0.1,0.1,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinBigMoveStepPoints,50,50,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxBigMoveStepPoints,125,125,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinFarDistancePoints,200,200,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxFarDistancePoints,400,400,Низкое,Synthetic rank spread=0.0; recommended preset anchor
GeometryRoundStep,5,5,Низкое,Synthetic rank spread=0.0; recommended preset anchor
InitialRoundStep,10,10,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigStartRoundStep,10,10,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigStepRoundStep,5,5,Низкое,Synthetic rank spread=0.0; recommended preset anchor
FarDistanceRoundStep,50,50,Низкое,Synthetic rank spread=0.0; recommended preset anchor
FreezeGeometryPerCycle,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
PrintAdaptiveGeometryLog,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
AllowATRManualFallback,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
ShowATRIndicatorOnChart,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxHarvestLevels,6,5–6–8,Очень сильное,Synthetic rank spread=116302.1; recommended preset anchor
SmallFarTouchOffsetPoints,0,0,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxReverseCycles,10,10–12,Сильное,Synthetic rank spread=33811.7; recommended preset anchor
MinReverseStrength,0.12,0.12,Низкое,Synthetic rank spread=0.0; recommended preset anchor
WarningReverseStrength,0.18,0.18,Низкое,Synthetic rank spread=0.0; recommended preset anchor
StrongReverseStrength,0.3,0.3,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinProjectedReserveCoverage,1.1,1.1,Низкое,Synthetic rank spread=0.0; recommended preset anchor
StopOnInvalidReverseGeometry,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
StopOnReverseLimit,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
AllowNegativeSmallReverseNet,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
LotStep,0.01,0.01,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxSpreadPoints,40.0,40.0–60.0,Сильное,Synthetic rank spread=34273.0; recommended preset anchor
MaxMarginPercent,55.0,45.0–55.0,Сильное,Synthetic rank spread=31759.0; recommended preset anchor
MaxDrawdownPercent,22.0,18.0–22.0–25.0,Сильное,Synthetic rank spread=77989.6; recommended preset anchor
MaxManagedPositions,10,10–8,Сильное,Synthetic rank spread=31759.0; recommended preset anchor
MaxAccountMarginPercent,55.0,45.0–55.0,Среднее,Synthetic rank spread=23041.9; recommended preset anchor
MaxActiveSymbols,10,10–6,Сильное,Synthetic rank spread=31759.0; recommended preset anchor
StopOnRiskGateBlocked,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
RiskGateLogIntervalSeconds,60,60,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxCloseRetryAttempts,20,20,Низкое,Synthetic rank spread=0.0; recommended preset anchor
RetryLogIntervalSeconds,30,30,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxSlippagePoints,30,30,Низкое,Synthetic rank spread=0.0; recommended preset anchor
CloseAllOnInvalidGeometry,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
CloseFarOnMaxLevels,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
ReserveMismatchTolerance,0.01,0.01,Низкое,Synthetic rank spread=0.0; recommended preset anchor
VolumeMismatchToleranceLots,0.001,0.001,Низкое,Synthetic rank spread=0.0; recommended preset anchor
ReconciliationIntervalSeconds,300,300,Низкое,Synthetic rank spread=0.0; recommended preset anchor
PositionResolutionLookbackSeconds,10,10,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MagicNumber,20260609,20260609,Низкое,Synthetic rank spread=0.0; recommended preset anchor
AllowRealTrading,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
UseInternalSimulation,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
UseMarketOrders,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
EnableCycleMathCsv,true,true,Низкое,Synthetic rank spread=0.0; recommended preset anchor
VerboseTickLogs,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
