Source workbook: recovery_lock_cascade_next_step_documentation.xlsx
Sheets: 17

================================================================================
SHEET: README
================================================================================
Metric	Value
Исходный файл	recovery_lock_cascade_next_step.xlsx
Дата генерации	2026-05-12T11:07:50.764350
Количество листов	13
Количество ячеек с формулами	4338
Количество ручных вводимых ячеек	93
Количество автоматически генерируемых ячеек	4338
Назначение workbook	Расчёт следующего шага recovery lock cascade по сценариям UP/DOWN
Предупреждение	Документация создана автоматически из фактической структуры workbook.
Total formula cells detected	4338
Total formula cells documented	4338
Formula documentation completeness	100%

================================================================================
SHEET: Workbook_Sheets
================================================================================
SheetName	SheetIndex	Purpose	IsInputSheet	IsCalculationSheet	IsOutputSheet	DependsOnSheets	FeedsToSheets	ImportantCells	Notes
Settings	1	Параметры системы и риска	YES	NO	NO
CurrentPositions	2	Текущие позиции	YES	NO	NO
Scenario_UP	3	Сценарий роста	NO	YES	NO
Scenario_DOWN	4	Сценарий снижения	NO	YES	NO
SectionCalculator_UP	5	Секции UP	NO	YES	NO
SectionCalculator_DOWN	6	Секции DOWN	NO	YES	NO
TailRecovery_UP	7	Восстановление хвоста UP	NO	YES	NO
TailRecovery_DOWN	8	Восстановление хвоста DOWN	NO	YES	NO
BasketSummary	9	Итоговые решения	NO	NO	YES
Validation	10	Правила валидации	NO	NO	NO
Log	11	Журнал	NO	NO	YES
ScenarioText_UP	12	Текст рекомендаций UP	NO	YES	YES
ScenarioText_DOWN	13	Текст рекомендаций DOWN	NO	YES	YES

================================================================================
SHEET: Input_Output_Map
================================================================================
SheetName	Cell	FieldName	FieldType	InputOrGenerated	ValueExample	FormulaIfAny	Description	UserCanEdit	UsedBy	RiskIfWrong
Settings	A17	GlobalReserve	VALUE	INPUT	GlobalReserve		Manual field	YES		Wrong calculations
Settings	B17	0	VALUE	INPUT	0		Manual field	YES		Wrong calculations
Settings	A18	RecoveryFund	VALUE	INPUT	RecoveryFund		Manual field	YES		Wrong calculations
Settings	B18	0	VALUE	INPUT	0		Manual field	YES		Wrong calculations
Settings	A19	CostMode	VALUE	INPUT	CostMode		Manual field	YES		Wrong calculations
Settings	B19	FULL_CYCLE	VALUE	INPUT	FULL_CYCLE		Manual field	YES		Wrong calculations
Settings	A20	Level	VALUE	INPUT	Level		Manual field	YES		Wrong calculations
Settings	B20	BigRatio	VALUE	INPUT	BigRatio		Manual field	YES		Wrong calculations
Settings	C20	SmallRatio	VALUE	INPUT	SmallRatio		Manual field	YES		Wrong calculations
Settings	A21	1	VALUE	INPUT	1		Manual field	YES		Wrong calculations
Settings	B21	0.4	VALUE	INPUT	0.4		Manual field	YES		Wrong calculations
Settings	C21	0.15	VALUE	INPUT	0.15		Manual field	YES		Wrong calculations
Settings	A22	2	VALUE	INPUT	2		Manual field	YES		Wrong calculations
Settings	B22	0.25	VALUE	INPUT	0.25		Manual field	YES		Wrong calculations
Settings	C22	0.1	VALUE	INPUT	0.1		Manual field	YES		Wrong calculations
Settings	A23	3	VALUE	INPUT	3		Manual field	YES		Wrong calculations
Settings	B23	0.15	VALUE	INPUT	0.15		Manual field	YES		Wrong calculations
Settings	C23	0.06	VALUE	INPUT	0.06		Manual field	YES		Wrong calculations
Settings	A24	4	VALUE	INPUT	4		Manual field	YES		Wrong calculations
Settings	B24	0.1	VALUE	INPUT	0.1		Manual field	YES		Wrong calculations
Settings	C24	0.04	VALUE	INPUT	0.04		Manual field	YES		Wrong calculations
CurrentPositions	A1	Ticket	VALUE	INPUT	Ticket		Manual field	YES		Wrong calculations
CurrentPositions	B1	Type	VALUE	INPUT	Type		Manual field	YES		Wrong calculations
CurrentPositions	C1	Role	VALUE	INPUT	Role		Manual field	YES		Wrong calculations
CurrentPositions	D1	Lot	VALUE	INPUT	Lot		Manual field	YES		Wrong calculations
CurrentPositions	E1	OpenPrice	VALUE	INPUT	OpenPrice		Manual field	YES		Wrong calculations
CurrentPositions	F1	CurrentPrice	VALUE	INPUT	CurrentPrice		Manual field	YES		Wrong calculations
CurrentPositions	G1	PointsPnL	VALUE	INPUT	PointsPnL		Manual field	YES		Wrong calculations
CurrentPositions	H1	MoneyPnL	VALUE	INPUT	MoneyPnL		Manual field	YES		Wrong calculations
CurrentPositions	I1	IsTail	VALUE	INPUT	IsTail		Manual field	YES		Wrong calculations
CurrentPositions	J1	SectionID	VALUE	INPUT	SectionID		Manual field	YES		Wrong calculations
CurrentPositions	A2	10001	VALUE	INPUT	10001		Manual field	YES		Wrong calculations
CurrentPositions	B2	BUY	VALUE	INPUT	BUY		Manual field	YES		Wrong calculations
CurrentPositions	C2	MAIN	VALUE	INPUT	MAIN		Manual field	YES		Wrong calculations
CurrentPositions	D2	1	VALUE	INPUT	1		Manual field	YES		Wrong calculations
CurrentPositions	E2	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	F2	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	I2	NO	VALUE	INPUT	NO		Manual field	YES		Wrong calculations
CurrentPositions	A3	10002	VALUE	INPUT	10002		Manual field	YES		Wrong calculations
CurrentPositions	B3	SELL	VALUE	INPUT	SELL		Manual field	YES		Wrong calculations
CurrentPositions	C3	TAIL	VALUE	INPUT	TAIL		Manual field	YES		Wrong calculations
CurrentPositions	D3	1	VALUE	INPUT	1		Manual field	YES		Wrong calculations
CurrentPositions	E3	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	F3	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	I3	YES	VALUE	INPUT	YES		Manual field	YES		Wrong calculations
CurrentPositions	A4	10003	VALUE	INPUT	10003		Manual field	YES		Wrong calculations
CurrentPositions	B4	SELL	VALUE	INPUT	SELL		Manual field	YES		Wrong calculations
CurrentPositions	C4	SECTION_BIG	VALUE	INPUT	SECTION_BIG		Manual field	YES		Wrong calculations
CurrentPositions	D4	0.4	VALUE	INPUT	0.4		Manual field	YES		Wrong calculations
CurrentPositions	E4	1.235	VALUE	INPUT	1.235		Manual field	YES		Wrong calculations
CurrentPositions	F4	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	I4	NO	VALUE	INPUT	NO		Manual field	YES		Wrong calculations
CurrentPositions	J4	S1	VALUE	INPUT	S1		Manual field	YES		Wrong calculations
CurrentPositions	A5	10004	VALUE	INPUT	10004		Manual field	YES		Wrong calculations
CurrentPositions	B5	BUY	VALUE	INPUT	BUY		Manual field	YES		Wrong calculations
CurrentPositions	C5	SECTION_SMALL	VALUE	INPUT	SECTION_SMALL		Manual field	YES		Wrong calculations
CurrentPositions	D5	0.15	VALUE	INPUT	0.15		Manual field	YES		Wrong calculations
CurrentPositions	E5	1.235	VALUE	INPUT	1.235		Manual field	YES		Wrong calculations
CurrentPositions	F5	1.23	VALUE	INPUT	1.23		Manual field	YES		Wrong calculations
CurrentPositions	I5	NO	VALUE	INPUT	NO		Manual field	YES		Wrong calculations
CurrentPositions	J5	S1	VALUE	INPUT	S1		Manual field	YES		Wrong calculations
CurrentPositions	G2		FORMULA	FORMULA		=IF(B2="BUY",(F2-E2)/Settings!$B$3,(E2-F2)/Settings!$B$3)	Generated formula	NO		Cascade errors
CurrentPositions	H2		FORMULA	FORMULA		=G2*D2*Settings!$B$4	Generated formula	NO		Cascade errors
CurrentPositions	G3		FORMULA	FORMULA		=IF(B3="BUY",(F3-E3)/Settings!$B$3,(E3-F3)/Settings!$B$3)	Generated formula	NO		Cascade errors
CurrentPositions	H3		FORMULA	FORMULA		=G3*D3*Settings!$B$4	Generated formula	NO		Cascade errors
CurrentPositions	G4		FORMULA	FORMULA		=IF(B4="BUY",(F4-E4)/Settings!$B$3,(E4-F4)/Settings!$B$3)	Generated formula	NO		Cascade errors
CurrentPositions	H4		FORMULA	FORMULA		=G4*D4*Settings!$B$4	Generated formula	NO		Cascade errors
CurrentPositions	G5		FORMULA	FORMULA		=IF(B5="BUY",(F5-E5)/Settings!$B$3,(E5-F5)/Settings!$B$3)	Generated formula	NO		Cascade errors
CurrentPositions	H5		FORMULA	FORMULA		=G5*D5*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	E1		FORMULA	FORMULA		=IFERROR(SUMPRODUCT((B7:B206="BUY")*E7:E206*D7:D206)/MAX(0.0000001,SUMIFS(D7:D206,B7:B206,"BUY")),0)	Generated formula	NO		Cascade errors
Scenario_UP	B2		FORMULA	FORMULA		=CurrentPositions!F2	Generated formula	NO		Cascade errors
Scenario_UP	E2		FORMULA	FORMULA		=IFERROR(SUMPRODUCT((B7:B206="SELL")*E7:E206*D7:D206)/MAX(0.0000001,SUMIFS(D7:D206,B7:B206,"SELL")),0)	Generated formula	NO		Cascade errors
Scenario_UP	E3		FORMULA	FORMULA		=(E1+E2)/2	Generated formula	NO		Cascade errors
Scenario_UP	B4		FORMULA	FORMULA		=B2+B3*Settings!$B$3	Generated formula	NO		Cascade errors
Scenario_UP	E4		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3+1*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	E5		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3+2*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	E6		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3+3*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	A7		FORMULA	FORMULA		=CurrentPositions!A2	Generated formula	NO		Cascade errors
Scenario_UP	B7		FORMULA	FORMULA		=CurrentPositions!B2	Generated formula	NO		Cascade errors
Scenario_UP	C7		FORMULA	FORMULA		=CurrentPositions!C2	Generated formula	NO		Cascade errors
Scenario_UP	E7		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3+4*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	F7		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G7		FORMULA	FORMULA		=IF(B7="BUY",(F7-E7)/Settings!$B$3,(E7-F7)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H7		FORMULA	FORMULA		=G7*D7*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I7		FORMULA	FORMULA		=CurrentPositions!I2	Generated formula	NO		Cascade errors
Scenario_UP	J7		FORMULA	FORMULA		=CurrentPositions!J2	Generated formula	NO		Cascade errors
Scenario_UP	A8		FORMULA	FORMULA		=CurrentPositions!A3	Generated formula	NO		Cascade errors
Scenario_UP	B8		FORMULA	FORMULA		=CurrentPositions!B3	Generated formula	NO		Cascade errors
Scenario_UP	C8		FORMULA	FORMULA		=CurrentPositions!C3	Generated formula	NO		Cascade errors
Scenario_UP	D8		FORMULA	FORMULA		=CurrentPositions!D3	Generated formula	NO		Cascade errors
Scenario_UP	E8		FORMULA	FORMULA		=CurrentPositions!E3	Generated formula	NO		Cascade errors
Scenario_UP	F8		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G8		FORMULA	FORMULA		=IF(B8="BUY",(F8-E8)/Settings!$B$3,(E8-F8)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H8		FORMULA	FORMULA		=G8*D8*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I8		FORMULA	FORMULA		=CurrentPositions!I3	Generated formula	NO		Cascade errors
Scenario_UP	J8		FORMULA	FORMULA		=CurrentPositions!J3	Generated formula	NO		Cascade errors
Scenario_UP	A9		FORMULA	FORMULA		=CurrentPositions!A4	Generated formula	NO		Cascade errors
Scenario_UP	B9		FORMULA	FORMULA		=CurrentPositions!B4	Generated formula	NO		Cascade errors
Scenario_UP	C9		FORMULA	FORMULA		=CurrentPositions!C4	Generated formula	NO		Cascade errors
Scenario_UP	E9		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3-1*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	F9		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G9		FORMULA	FORMULA		=IF(B9="BUY",(F9-E9)/Settings!$B$3,(E9-F9)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H9		FORMULA	FORMULA		=G9*D9*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I9		FORMULA	FORMULA		=CurrentPositions!I4	Generated formula	NO		Cascade errors
Scenario_UP	J9		FORMULA	FORMULA		=CurrentPositions!J4	Generated formula	NO		Cascade errors
Scenario_UP	A10		FORMULA	FORMULA		=CurrentPositions!A5	Generated formula	NO		Cascade errors
Scenario_UP	B10		FORMULA	FORMULA		=CurrentPositions!B5	Generated formula	NO		Cascade errors
Scenario_UP	C10		FORMULA	FORMULA		=CurrentPositions!C5	Generated formula	NO		Cascade errors
Scenario_UP	E10		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3-2*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	F10		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G10		FORMULA	FORMULA		=IF(B10="BUY",(F10-E10)/Settings!$B$3,(E10-F10)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H10		FORMULA	FORMULA		=G10*D10*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I10		FORMULA	FORMULA		=CurrentPositions!I5	Generated formula	NO		Cascade errors
Scenario_UP	J10		FORMULA	FORMULA		=CurrentPositions!J5	Generated formula	NO		Cascade errors
Scenario_UP	A11		FORMULA	FORMULA		=CurrentPositions!A6	Generated formula	NO		Cascade errors
Scenario_UP	B11		FORMULA	FORMULA		=CurrentPositions!B6	Generated formula	NO		Cascade errors
Scenario_UP	C11		FORMULA	FORMULA		=CurrentPositions!C6	Generated formula	NO		Cascade errors
Scenario_UP	E11		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3-3*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	F11		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G11		FORMULA	FORMULA		=IF(B11="BUY",(F11-E11)/Settings!$B$3,(E11-F11)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H11		FORMULA	FORMULA		=G11*D11*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I11		FORMULA	FORMULA		=CurrentPositions!I6	Generated formula	NO		Cascade errors
Scenario_UP	J11		FORMULA	FORMULA		=CurrentPositions!J6	Generated formula	NO		Cascade errors
Scenario_UP	A12		FORMULA	FORMULA		=CurrentPositions!A7	Generated formula	NO		Cascade errors
Scenario_UP	B12		FORMULA	FORMULA		=CurrentPositions!B7	Generated formula	NO		Cascade errors
Scenario_UP	C12		FORMULA	FORMULA		=CurrentPositions!C7	Generated formula	NO		Cascade errors
Scenario_UP	E12		FORMULA	FORMULA		=IF(E3=0,"Уровень не рассчитан",E3-4*Settings!$B$5*Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	F12		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G12		FORMULA	FORMULA		=IF(B12="BUY",(F12-E12)/Settings!$B$3,(E12-F12)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H12		FORMULA	FORMULA		=G12*D12*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I12		FORMULA	FORMULA		=CurrentPositions!I7	Generated formula	NO		Cascade errors
Scenario_UP	J12		FORMULA	FORMULA		=CurrentPositions!J7	Generated formula	NO		Cascade errors
Scenario_UP	A13		FORMULA	FORMULA		=CurrentPositions!A8	Generated formula	NO		Cascade errors
Scenario_UP	B13		FORMULA	FORMULA		=CurrentPositions!B8	Generated formula	NO		Cascade errors
Scenario_UP	C13		FORMULA	FORMULA		=CurrentPositions!C8	Generated formula	NO		Cascade errors
Scenario_UP	D13		FORMULA	FORMULA		=CurrentPositions!D8	Generated formula	NO		Cascade errors
Scenario_UP	E13		FORMULA	FORMULA		=CurrentPositions!E8	Generated formula	NO		Cascade errors
Scenario_UP	F13		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G13		FORMULA	FORMULA		=IF(B13="BUY",(F13-E13)/Settings!$B$3,(E13-F13)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H13		FORMULA	FORMULA		=G13*D13*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I13		FORMULA	FORMULA		=CurrentPositions!I8	Generated formula	NO		Cascade errors
Scenario_UP	J13		FORMULA	FORMULA		=CurrentPositions!J8	Generated formula	NO		Cascade errors
Scenario_UP	A14		FORMULA	FORMULA		=CurrentPositions!A9	Generated formula	NO		Cascade errors
Scenario_UP	B14		FORMULA	FORMULA		=CurrentPositions!B9	Generated formula	NO		Cascade errors
Scenario_UP	C14		FORMULA	FORMULA		=CurrentPositions!C9	Generated formula	NO		Cascade errors
Scenario_UP	D14		FORMULA	FORMULA		=CurrentPositions!D9	Generated formula	NO		Cascade errors
Scenario_UP	E14		FORMULA	FORMULA		=CurrentPositions!E9	Generated formula	NO		Cascade errors
Scenario_UP	F14		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G14		FORMULA	FORMULA		=IF(B14="BUY",(F14-E14)/Settings!$B$3,(E14-F14)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H14		FORMULA	FORMULA		=G14*D14*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I14		FORMULA	FORMULA		=CurrentPositions!I9	Generated formula	NO		Cascade errors
Scenario_UP	J14		FORMULA	FORMULA		=CurrentPositions!J9	Generated formula	NO		Cascade errors
Scenario_UP	A15		FORMULA	FORMULA		=CurrentPositions!A10	Generated formula	NO		Cascade errors
Scenario_UP	B15		FORMULA	FORMULA		=CurrentPositions!B10	Generated formula	NO		Cascade errors
Scenario_UP	C15		FORMULA	FORMULA		=CurrentPositions!C10	Generated formula	NO		Cascade errors
Scenario_UP	D15		FORMULA	FORMULA		=CurrentPositions!D10	Generated formula	NO		Cascade errors
Scenario_UP	E15		FORMULA	FORMULA		=CurrentPositions!E10	Generated formula	NO		Cascade errors
Scenario_UP	F15		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G15		FORMULA	FORMULA		=IF(B15="BUY",(F15-E15)/Settings!$B$3,(E15-F15)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H15		FORMULA	FORMULA		=G15*D15*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I15		FORMULA	FORMULA		=CurrentPositions!I10	Generated formula	NO		Cascade errors
Scenario_UP	J15		FORMULA	FORMULA		=CurrentPositions!J10	Generated formula	NO		Cascade errors
Scenario_UP	A16		FORMULA	FORMULA		=CurrentPositions!A11	Generated formula	NO		Cascade errors
Scenario_UP	B16		FORMULA	FORMULA		=CurrentPositions!B11	Generated formula	NO		Cascade errors
Scenario_UP	C16		FORMULA	FORMULA		=CurrentPositions!C11	Generated formula	NO		Cascade errors
Scenario_UP	D16		FORMULA	FORMULA		=CurrentPositions!D11	Generated formula	NO		Cascade errors
Scenario_UP	E16		FORMULA	FORMULA		=CurrentPositions!E11	Generated formula	NO		Cascade errors
Scenario_UP	F16		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G16		FORMULA	FORMULA		=IF(B16="BUY",(F16-E16)/Settings!$B$3,(E16-F16)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H16		FORMULA	FORMULA		=G16*D16*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I16		FORMULA	FORMULA		=CurrentPositions!I11	Generated formula	NO		Cascade errors
Scenario_UP	J16		FORMULA	FORMULA		=CurrentPositions!J11	Generated formula	NO		Cascade errors
Scenario_UP	A17		FORMULA	FORMULA		=CurrentPositions!A12	Generated formula	NO		Cascade errors
Scenario_UP	B17		FORMULA	FORMULA		=CurrentPositions!B12	Generated formula	NO		Cascade errors
Scenario_UP	C17		FORMULA	FORMULA		=CurrentPositions!C12	Generated formula	NO		Cascade errors
Scenario_UP	D17		FORMULA	FORMULA		=CurrentPositions!D12	Generated formula	NO		Cascade errors
Scenario_UP	E17		FORMULA	FORMULA		=CurrentPositions!E12	Generated formula	NO		Cascade errors
Scenario_UP	F17		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G17		FORMULA	FORMULA		=IF(B17="BUY",(F17-E17)/Settings!$B$3,(E17-F17)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H17		FORMULA	FORMULA		=G17*D17*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I17		FORMULA	FORMULA		=CurrentPositions!I12	Generated formula	NO		Cascade errors
Scenario_UP	J17		FORMULA	FORMULA		=CurrentPositions!J12	Generated formula	NO		Cascade errors
Scenario_UP	A18		FORMULA	FORMULA		=CurrentPositions!A13	Generated formula	NO		Cascade errors
Scenario_UP	B18		FORMULA	FORMULA		=CurrentPositions!B13	Generated formula	NO		Cascade errors
Scenario_UP	C18		FORMULA	FORMULA		=CurrentPositions!C13	Generated formula	NO		Cascade errors
Scenario_UP	D18		FORMULA	FORMULA		=CurrentPositions!D13	Generated formula	NO		Cascade errors
Scenario_UP	E18		FORMULA	FORMULA		=CurrentPositions!E13	Generated formula	NO		Cascade errors
Scenario_UP	F18		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G18		FORMULA	FORMULA		=IF(B18="BUY",(F18-E18)/Settings!$B$3,(E18-F18)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H18		FORMULA	FORMULA		=G18*D18*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I18		FORMULA	FORMULA		=CurrentPositions!I13	Generated formula	NO		Cascade errors
Scenario_UP	J18		FORMULA	FORMULA		=CurrentPositions!J13	Generated formula	NO		Cascade errors
Scenario_UP	A19		FORMULA	FORMULA		=CurrentPositions!A14	Generated formula	NO		Cascade errors
Scenario_UP	B19		FORMULA	FORMULA		=CurrentPositions!B14	Generated formula	NO		Cascade errors
Scenario_UP	C19		FORMULA	FORMULA		=CurrentPositions!C14	Generated formula	NO		Cascade errors
Scenario_UP	D19		FORMULA	FORMULA		=CurrentPositions!D14	Generated formula	NO		Cascade errors
Scenario_UP	E19		FORMULA	FORMULA		=CurrentPositions!E14	Generated formula	NO		Cascade errors
Scenario_UP	F19		FORMULA	FORMULA		=$B$4	Generated formula	NO		Cascade errors
Scenario_UP	G19		FORMULA	FORMULA		=IF(B19="BUY",(F19-E19)/Settings!$B$3,(E19-F19)/Settings!$B$3)	Generated formula	NO		Cascade errors
Scenario_UP	H19		FORMULA	FORMULA		=G19*D19*Settings!$B$4	Generated formula	NO		Cascade errors
Scenario_UP	I19		FORMULA	FORMULA		=CurrentPositions!I14	Generated formula	NO		Cascade errors
Scenario_UP	J19		FORMULA	FORMULA		=CurrentPositions!J14	Generated formula	NO		Cascade errors
Scenario_UP	A20		FORMULA	FORMULA		=CurrentPositions!A15	Generated formula	NO		Cascade errors
